Title;Artist;Album;Year;Comment;Track;Genre
21 Things I Want in a Lover   ;Alanis Morissette             ;Under Rug Swept               ;2002;Fast                        ;1;12
Narcissus                     ;Alanis Morissette             ;Under Rug Swept               ;2002;Very Good                   ;2;12
Hands Clean (unplugged)       ;Alanis Morissette             ;Under Rug Swept               ;2002;Very Good                   ;3;12
Hands Clean                   ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;3;12
04 - Flinch                   ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;4;12
So Unsexy (acoustic)          ;Alanis Morissette             ;Under Rug Swept               ;2002;Tranquil                    ;5;12
So Unsexy                     ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;5;12
Precious Illusions            ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;6;12
That Particular TIme          ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;7;12
A Man                         ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;8;12
You Owe Me Nothing            ;Alanis Morissette             ;Under Rug Swept               ;2002;Tranquil                    ;9;12
Surrendering                  ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;10;12
Utopia                        ;Alanis Morissette             ;Under Rug Swept               ;2002;Slow                        ;11;12
Amiga mia;Alejandro Sanz;Mtv Unplugged;;;15;12
Aprendiz;Alejandro Sanz;Mtv Unplugged;;;2;12
Corazon Partio;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Cuando nadie me ve;Alejandro Sanz;Unplugged;2002;                            ;1;12
Lo Que Fui Es Lo Que Soy      ;Alejandro Sanz                ;MTV Unplugged                 ;2001;                            ;12;12
Quisiera Ser;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Se le Apago la Luz            ;Alejandro Sanz                ;MTV Unplugged                 ;2001;                            ;4;12
Siempre Es De Noche;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Y Se Solo Se Me Ocurre Amarte;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Quiero Morir En Tu Veneno;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Toca Para Mi;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Todo Es De Color;Alejandro Sanz;Mtv Unplugged;2001;www.elitemp3.ws;;13
Como Te Hecho de Menos;Alejandro Sanz;Basico;1993;                            ;5;86
Atlantic City;Bruce Springsteen;Nebraska;1982;                            ;2;12
Where do the children play    ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;17
Wild world                    ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                            ;3;12
Tuesday's dead                ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Lady D'Arbanville             ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
The first cut is the deepest  ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Oh very young                 ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Rubylove                      ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Morning has broken            ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Moonshadow                    ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Matthew and son               ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
Father and son                ;Cat Stevens                   ;The Very Best Of Cat Stevens  ;2000;                              ;;12
